app, ddr_ipc, cxl_ipc,ddr_mbw,cxl_mbw,ddr_mlat,cxl_mlat
mose,0.650119,1.248835,27.6665,12.3544,343.2,140.9
imgd,0.65042,1.129275,28.4496,12.2979,193.2,112.3
cc,1.036436,1.459981,21.2549,7.2425,174.9,116.8
lbm,0.529537,0.692264,19.036,6.0906,209.1,124.8
masst,0.534007,0.65921,19.4869,9.004,180.6,117
pr,0.743552,0.854447,18.6812,5.6846,141.1,109
tc,1.366816,1.389621,17.5907,4.6559,113.2,101.5
parst,1.049341,1.051571,21.7236,5.4858,112.4,97.8
sphx,0.662747,0.705773,13.6716,3.6323,142.2,108.9
bfs,1.225448,1.258282,12.5213,2.9266,128.2,105
omntp,0.818337,0.852882,14.3963,3.6841,147.7,111
wrf,1.288351,1.384446,13.7793,4.1243,163.3,116.2
cam4,1.086897,1.151484,9.0204,2.458,152.9,113.6
mDB,1.421957,1.461193,5.0084,1.8324,146,110.1
sssp,0.993915,0.948052,10.8717,2.5999,121,105.2
xapn,1.764582,1.776697,6.184,1.5924,147.1,109.7
leela,1.881729,1.872923,0.0414,0.0087,92.9,93.4
nab,1.736838,1.737892,1.0985,0.2747,100.7,100.1
povray,1.920376,1.914853,0.0331,0.0079,97.9,96.8
deepsj,2.249411,2.222764,0.8136,0.1926,111.8,103.3
perlbc,1.725652,1.684944,0.345,0.0837,107.2,100.8
