app,1p_ddr_ipc,1p_cxl_ipc,16p_ddr_ipc,16p_cxl_ipc,32p_ddr_ipc,32p_cxl_ipc, ddr_ipc, cxl_ipc,128p_gain,128_ddr,128_cxl
moses,2.034625,1.99694,2.034764,2.001038,1.861636,1.838942,1.03,1.43,3.099775797,0.35682,1.106062
imgdnn,1.885579,1.882952,1.877579,1.875324,1.306757,1.47561,0.658801,1.152104,2.714764746,0.368899,1.001474
cc,2.099075,2.103039,1.417153,1.6176,1.267567,1.525458,1.040967,1.464517,2.015099408,0.674596,1.359378
bc,0.91046,0.847706,0.878082,0.829935,0.80289,0.770412,0.597766,0.6175,1.815574296,0.21818,0.396122
masstree,1.624534,1.558863,1.59093,1.529669,1.538721,1.491245,1.364166,1.356299,1.616598114,0.373681,0.604092
pr,1.012884,0.938567,0.859453,0.887095,0.821038,0.873874,0.74599,0.855573,1.527717844,0.536243,0.819228
tc,1.755761,1.741944,1.563311,1.472453,1.499112,1.438094,1.370463,1.394812,1.33346586,1.001053,1.33487
sphinx,1.244662,1.22342,1.245672,1.224498,1.131423,1.096582,0.821041,0.83203,1.271751255,0.545072,0.693196
bfs,1.613359,1.460643,1.549444,1.470041,1.540511,1.485235,1.459811,1.467067,1.248601342,1.241011,1.549528
monetDB,1.661021,1.61,1.46,1.56,1.435442,1.544384,1.40776,1.487641,1.10114563,1.325821,1.459922
sssp,1.336904,1.245439,1.325329,1.229738,1.275335,1.186562,1.143176,1.076069,1.036288999,0.914244,0.947421
xapian,1.896684,1.889414,1.892294,1.889431,1.894946,1.887844,1.879523,1.869168,1.009720153,1.771577,1.788797
lbm,1.196896,0.930298,0.992622,0.895508,0.90427,0.870211,0.564,0.715,1.787916608,0.360561,0.644653
cactuBSSN,1.756111,1.770786,1.735951274,1.767026186,1.573779,1.689294,1.447234,1.651792,1.443332015,1.117174,1.612453
parest,1.613339348,1.643638,1.688423,1.650758,1.685644,1.650711,1.465275,1.419943,1.387889407,0.741384,1.028959
omnetpp,1.490529,1.40931,1.074523,1.006319,0.970086,0.942423,0.861057,0.883511,1.232221224,0.671067,0.826903
wrf,1.579483,1.562813,1.548053,1.532293,1.469695,1.489752,1.33558,1.412836,1.161602453,1.159048,1.346353
xz,1.985854,1.866884,1.765922185,1.693363524,1.563697,1.546761,1.312,1.393,1.142545101,1.096394356,1.25268
cam4,1.293977,1.17045,1.132694,1.136587,1.111053,1.139477,1.093868,1.153116,1.103675306,1.097378,1.211149
mcf,1.585155,1.500955,1.583228464,1.496856707,1.558962,1.486783,1.497,1.459,1.099716287,1.288626,1.417123
leela,1.873707074,1.881203,1.886953,1.877667,1.885467,1.876387,1.882008,1.872959,0.995332353,1.87782,1.869055
nab,1.733386,1.734826,1.737989,1.736667,1.7377,1.7371,1.737394,1.73814,1.001589178,1.73423,1.736986
povray,1.919051,1.912456,1.925315119,1.923961528,1.918218,1.914384,1.917851,1.913949,0.996316348,1.910061,1.903025
deepsjeng,2.257903,2.218,2.25975383,2.221689791,2.26,2.23,2.261,2.225,0.988479664,2.250542,2.224615
perlbench,1.810809535,1.681096,1.721482,1.685349,1.737022,1.699956,1.7647,1.725,0.977707472,1.730849,1.692264
