app,ddr_mbw,ddr_mlat,low_load_mlat
mose,32.7338,713,93
imgd,32.4353,340.1,91.7
cc,27.4275,263.6,91.6
bc,24.348,271.5,97.3
lbm,25.8164,308.1,94.7
masst,23.9778,241.1,96.5
pr,26.698,204.8,93.3
cactB,18.5241,264.5,117.9
tc,27.1543,159.2,93.1
parst,30.0181,167.1,100
sphx,22.3316,190,96.9
bfs,15.2211,160,95.4
omtp,23.7399,195.4,97.3
wrf,18.5202,203.4,96.6
xz,12.3064,229.4,99.3
mica,13.9,119.9,100
cam4,13.4292,168.4,95.9
mDB,13.2783,161.2,100
mcf,21.4622,140.9,90.8
sssp,9.5235,144.8,98.4
xapn,11.6107,158,100
leela,0.3683,93,100
nab,1.1039,102,100.2
povray,0.0701,101.4,102.7
deepsj,1.7483,111.9,97.7
perlbc,1.9944,108.3,100
