app,2X_ipc,8X_ipc, ddr_ipc,4X_ipcs
moses,0.705568,1.312564,0.35682,1.106062
imgdnn,0.659565,1.15683,0.368899,1.001474
cc,1.075357,1.499871,0.674596,1.359378
bc,0.327104,0.430557,0.21818,0.396122
masstree,0.479739,0.675769,0.373681,0.604092
pr,0.727279,0.864077,0.536243,0.819228
tc,1.257342,1.371764,1.001053,1.33487
sphinx,0.641254,0.721451,0.545072,0.693196
bfs,1.447564,1.587358,1.241011,1.549528
mica,1.13,1.23,1.065,1.2
monetDB,1.44617,1.487224,1.325821,1.459922
sssp,0.911168,0.966924,0.914244,0.947421
xapian,1.771369,1.798764,1.771577,1.788797
lbm,0.530043,0.720724,0.360561,0.644653
cactuBSSN,1.481298,1.681328,1.117174,1.612453
parest,0.963285,1.056977,0.741384,1.028959
omnetpp,0.760836,0.864299,0.671067,0.826903
wrf,1.286415,1.37344,1.159048,1.346353
xz,1.139908,1.316687,1.09639435588752,1.25268
cam4,1.14653,1.243386,1.097378,1.211149
mcf,1.382395,1.433299,1.288626,1.417123
leela,1.868963,1.86915,1.87782,1.869055
nab,1.735729,1.737505,1.73423,1.736986
povray,1.906116,1.905642,1.910061,1.903025
deepsjeng,2.221051415,2.22601,2.250542,2.224615
perlbench,1.68836,1.693809,1.730849,1.692264
