cores,MBW,AVGLAT,LAT90,IPC,
1, 0.7359648695869074, 130.42351826957326, 170, 0.40191309871208436,
2, 1.4526689130163537, 132.71665002410876, 170, 0.393960964096256,
3, 2.1514330462997457, 134.91316768598475, 170, 0.38797649100258813,
4, 2.8309908898040597, 137.11843011816825, 170, 0.38248519050656243,
5, 3.49428335205291, 139.41972193690836, 180, 0.3773855598249516,
6, 4.198871708473714, 143.1538086644331, 180, 0.3698444707584469,
7, 4.827254149507053, 145.2848074531239, 190, 0.3656438346676331,
8, 5.442667914638693, 147.5798109640116, 190, 0.3614092378362471,
9, 6.064621552477151, 150.57151223046958, 200, 0.35611384069432994,
10, 6.646424372893982, 153.038622679196, 210, 0.35200240443843445,
11, 7.210376513166106, 155.70460821925172, 220, 0.3478289400455836,
12, 7.761615063022583, 158.50314625645373, 230, 0.3436871112798155,
13, 8.311689629352315, 162.0451312372714, 240, 0.3385946688270095,
14, 8.824312991388942, 165.42428268043196, 250, 0.3341076692333353,
15, 9.30781012105328, 169.08776543226, 270, 0.329589027244034,
16, 9.789547922126502, 173.7483193202565, 280, 0.3239350793456313,
17, 10.203292275053043, 178.72487615724089, 300, 0.3184323371166544,
18, 10.586605079246226, 184.296059747603, 310, 0.3126081594545809,
19, 10.943940596530691, 191.35635375023926, 340, 0.3053584621853057,
20, 11.232153313365822, 198.68029122455215, 360, 0.29823509182710034,
21, 11.479962248845611, 207.0080395107227, 380, 0.2905706561010777,
22, 11.675757831024612, 215.95234254123167, 400, 0.28269990914736837,
23, 11.83478179208784, 226.39911724101108, 430, 0.2737462597159646,
24, 11.95633807562715, 236.6305362175446, 450, 0.26541662719250236,
25, 12.069720204667416, 246.46325304152063, 470, 0.2578502879290973,
26, 12.174546362161554, 256.9260903515948, 480, 0.25022037109828144,
27, 12.26541682266313, 267.0421444835828, 500, 0.24315913661118305,
28, 12.369332397354372, 277.0565229100351, 520, 0.23650748028206273,
29, 12.464147510295748, 286.32265241894095, 530, 0.23086245209371406,
30, 12.585883689005374, 295.5942004752599, 540, 0.22551312732603612,
31, 12.697910957194615, 305.12237027540084, 560, 0.21999445216484806,
32, 12.800456320978412, 313.8165437500969, 570, 0.21552178970062882,
33, 12.918433295894221, 322.64243424232114, 580, 0.21113638300022233,
34, 13.054160801198094, 331.45821063743614, 590, 0.20678074732126292,
35, 13.181641208036943, 339.8391885099286, 590, 0.20299288097618765,
36, 13.304208785723281, 348.53077278286486, 600, 0.1992748961250007,
37, 13.414556470735128, 357.5566581307984, 610, 0.19518469608715938,
38, 13.529956882565834, 365.5543836888332, 620, 0.19214186090081717,
39, 13.651425184075965, 374.4948932018607, 630, 0.18866531746491783,
40, 13.752318232871596, 382.4409000932872, 630, 0.18568599302273145,
41, 13.836233183576738, 391.6180589121495, 640, 0.18264052438468278,
42, 13.90872170223396, 400.9278026286232, 650, 0.17919374490426354,
